time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
22.17,-4.82856112816585e-14,0.0387525900666696,-5.19397439790287e-14,-2.04307421867261e-15,-0.00157360015843315,-4.37547857643721e-15,118.932254607556,0.383419680225897,0.0552550885920538,3.99874645464226e-15,-0.0165024985253842,0.551784917678695,-3.48980364688313e-14,-9.58042809262686,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.916060418486,-5.38373692841933e-12,1.96259027394606
22.18,-4.83077095330681e-14,0.0387368676193161,-5.19827805711573e-14,-2.04317129471852e-15,-0.00157088907665197,-4.37724853006324e-15,118.934088098996,0.38342548916963,0.0552549893089794,3.99861941819571e-15,-0.0165181216896633,0.551765172550781,-3.48987754281833e-14,-9.58075088824699,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.917862983417,-5.38880668079059e-12,1.96447840331131
22.19,-4.83298088016792e-14,0.0387211722898947,-5.20258358134003e-14,-2.04326834495649e-15,-0.00156817656745371,-4.3790184669642e-15,118.935922751395,0.383431301755092,0.0552548896810932,3.99849237281403e-15,-0.0165337173911986,0.551745411383561,-3.48995150415211e-14,-9.58107386534156,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.919666733177,-5.39387885297015e-12,1.96636334281291
22.2,-4.83519090878834e-14,0.0387055040928157,-5.20689097075041e-14,-2.04336536945507e-15,-0.00156546260365967,-4.38078838714417e-15,118.937758561838,0.383437117973049,0.0552547897085377,3.99836531855138e-15,-0.016549285615722,0.551725634204613,-3.49002553076809e-14,-9.58139702346757,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.921471665033,-5.39895344528583e-12,1.96824509061107
22.21,-4.83740103920752e-14,0.0386898630427592,-5.21120022552293e-14,-2.04346236828292e-15,-0.00156274715856616,-4.38255829060525e-15,118.93959552741,0.383442937814262,0.0552546893917633,3.99823825546121e-15,-0.0165648263490041,0.551705841044595,-3.49009962254717e-14,-9.58172036221962,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.923277776253,-5.40403045806501e-12,1.97012364487013
22.22,-4.83961127146529e-14,0.0386742491546695,-5.21551134583503e-14,-2.04355934150878e-15,-0.00156003020596074,-4.38432817734757e-15,118.941433645197,0.383448761269489,0.0552545887315203,3.99811118359623e-15,-0.0165803395768508,0.551686031937168,-3.49017377936751e-14,-9.58204388122884,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.925085064102,-5.40910989163473e-12,1.97199900375813
22.23,-4.84182160560177e-14,0.0386586624437508,-5.21982433186555e-14,-2.04365628920133e-15,-0.00155731172013773,-4.38609804736942e-15,118.94327291228,0.383454588329486,0.0552544877288511,3.99798410300839e-15,-0.0165958252851004,0.551666206918917,-3.49024800110456e-14,-9.58236758016191,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.926893525843,-5.41419174632165e-12,1.97387116544648
22.24,-4.84403204165742e-14,0.0386431029254615,-5.22413918379464e-14,-2.04375321142915e-15,-0.00155459167591287,-4.38786790066731e-15,118.945113325742,0.383460418985007,0.055254386385082,3.9978570137488e-15,-0.0166112834596205,0.551646366029274,-3.49032228763109e-14,-9.58269145871997,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.928703158741,-5.4192760224521e-12,1.9757401281096
22.25,-4.84624257967306e-14,0.0386275706155094,-5.22845590180377e-14,-2.04385010826066e-15,-0.00155187004863709,-4.38963773723608e-15,118.946954882666,0.383466253226801,0.0552542847018149,3.99772991586781e-15,-0.0166267140863055,0.551626509310438,-3.49039663881714e-14,-9.58301551663761,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.930513960056,-5.42436272035209e-12,1.97760588992459
22.26,-4.84845321968979e-14,0.038612065529846,-5.23277448607573e-14,-2.04394697976399e-15,-0.00154914681420948,-4.39140755706894e-15,118.948797580131,0.383472091045616,0.0552541826809193,3.99760280941486e-15,-0.0166421171510733,0.551606636807298,-3.49047105453009e-14,-9.58333975368176,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.932325927051,-5.42945184034731e-12,1.97946844907086
