time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
53.84,0.00164398156504734,0.0536936672527587,0.029384079439214,8.24918658857365e-10,-0.000634711619095752,0.000134006552125491,119.574832059467,0.385484804362886,0.0552591206425932,1.2691385703136e-05,-0.00156539969581235,0.54483938913106,-5.82267281494385e-05,-9.69260762400562,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.523341465535,3.50375080999971,0.18718232928504
53.85,0.00164405303448526,0.053687319642092,0.0293854110180232,1.30677853657331e-09,-0.000634371456075937,0.000134012207709945,119.57507225078,0.38548556889945,0.0552591008555078,1.26916344590187e-05,-0.0015717275142349,0.544836723287575,-5.82270022259479e-05,-9.69264852252626,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.523575714288,3.50391653003315,0.187939353694532
53.86,0.00164412450359447,0.0536809754372396,0.0293867426581654,1.78854964438697e-09,-0.000634030417825969,0.000134017862526119,119.575313013668,0.38548633523911,0.0552590810468503,1.26918830886977e-05,-0.00157805190527078,0.544834051274178,-5.82272764701896e-05,-9.6926895252773,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.523810529783,3.50408227464513,0.188695972207925
53.87,0.00164419597237822,0.0536746346469505,0.029388074359648,2.27023123522476e-09,-0.000633688505005491,0.000134023516574581,119.57555434768,0.385487103380427,0.0552590612166555,1.26921315926768e-05,-0.00158437286020557,0.544831373095796,-5.82275508857259e-05,-9.6927306321814,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.524045911575,3.50424804382591,0.189452183790818
53.88,0.00164426744083978,0.053668297279967,0.0293894061224784,2.7518225623572e-09,-0.000633345718275344,0.000134029169855898,119.57579625236,0.38548787332196,0.0552590413649577,1.26923799714599e-05,-0.00159069037033142,0.544828688757365,-5.82278254761282e-05,-9.69277184316107,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.524281859221,3.50441383756568,0.19020798740957
53.89,0.00164433890898243,0.053661963345025,0.0293907379466642,3.23332287939879e-09,-0.000633002058297551,0.00013403482237064,119.576038727255,0.385488645062265,0.0552590214917917,1.26926282255512e-05,-0.00159700442694714,0.54482599826383,-5.82281002449526e-05,-9.69281315813871,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.524518372276,3.50457965585462,0.1909633820313
53.9,0.00164441037680943,0.0536556328508536,0.0293920698322127,3.71473144030736e-09,-0.000632657525735326,0.000134040474119378,119.57628177191,0.385489418599896,0.0552590015971921,1.26928763554546e-05,-0.00160331502135823,0.544823301620145,-5.82283751957675e-05,-9.69285457703658,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.524755450294,3.50474549868291,0.191718366623896
53.91,0.00164448184432408,0.0536493058061753,0.0293934017791315,4.19604749938594e-09,-0.00063231212125307,0.000134046125102684,119.576525385869,0.385490193933405,0.0552589816811934,1.26931243616744e-05,-0.00160962214487683,0.54482059883127,-5.8228650332132e-05,-9.6928960997768,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.524993092829,3.50491136604068,0.192472940156003
53.92,0.00164455331152965,0.0536429822197061,0.029394733787428,4.67727031128328e-09,-0.00063196584551637,0.000134051775321132,119.576769568675,0.385490971061341,0.0552589617438305,1.2693372244715e-05,-0.00161592578882174,0.544817889902172,-5.82289256576082e-05,-9.69293772628134,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.525231299434,3.50507725791804,0.193227101597037
53.93,0.00164462477842945,0.053636662100155,0.0293960658571096,5.15839913099266e-09,-0.000631618699191996,0.000134057424775299,119.577014319872,0.385491749982251,0.0552589417851379,1.26936200050808e-05,-0.00162222594451847,0.544815174837831,-5.82292011757614e-05,-9.69297945647205,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.525470069662,3.50524317430507,0.193980849917176
